DIAS,TRÊS MARIAS,BSM,FORTALEZA,JATOBÁ,ACARÁ DO TAPAJÓS,BUBURÉ,BELA VISTA
1981-12-01,728.9032258064516,578.1290322580645,497.60195643261625,578.1290322580645,577.0170628576248,611.9581213411581,698.4409401049373
1982-01-01,938.8387096774194,771.516129032258,628.7780238596969,771.516129032258,702.3548387096774,694.011040504162,890.952474417637
1982-02-01,1112.107142857143,925.1785714285714,732.606913207709,925.1785714285714,838.3571428571429,788.8300276003541,1075.728259802826
1982-03-01,1123.6129032258063,938.483870967742,741.8147561113927,938.483870967742,896.4393754353429,834.715267270795,1132.1850754881573
1982-04-01,1041.7333333333333,866.2666666666667,693.0458482653288,866.2666666666667,832.5017470000643,790.1366108729218,1045.3279236542135
1982-05-01,901.5806451612904,765.0645161290323,626.2836524942356,765.0645161290323,743.6017522369633,728.2438854745924,924.22927970861
1982-06-01,668.1,624.4333333333333,535.9190497837952,624.4333333333333,621.1317348843545,643.1180698477955,756.8935942163548
1982-07-01,559.5483870967741,523.1935483870968,444.27784527308114,523.1935483870968,477.4516129032258,536.5223257798034,587.7903822472845
1982-08-01,489.80645161290323,480.5806451612903,351.7096774193548,480.5806451612903,438.2903225806452,508.6953923409179,534.9563221052017
1982-09-01,499.3666666666667,487.9,354.9,487.9,344.8851793966526,431.93870536771175,456.48332138791955
1982-10-01,519.1290322580645,497.9032258064516,379.663646894799,497.9032258064516,385.6938528025346,464.2099116110943,496.52338323756356
1982-11-01,531.9333333333333,507.6666666666667,395.7679763619651,507.6666666666667,410.99494521383644,483.84169069712897,522.8680369483022
1982-12-01,593.0645161290323,546.0967741935484,482.1604414725767,546.0967741935484,551.3969195511927,594.4485604567656,662.3406564255085
1983-01-01,775.3225806451613,645.4193548387096,542.8322014886965,645.4193548387096,587.516129032258,613.5664554231636,736.4945116729807
1983-02-01,957.4742120924136,802.8214285714286,650.9673466982721,802.8214285714286,732.25,715.1139748995441,930.5131366049912
1983-03-01,1035.9742697117665,898.0967741935484,648.9157180261398,898.0967741935484,726.2258064516129,700.0268600186686,965.8001063865452
1983-04-01,966.9,832.6,641.8333333333334,832.6,740.8333333333334,718.86619263635,950.6422989920619
1983-05-01,767.3089995735188,638.8387096774194,460.3225806451613,638.8387096774194,544.483870967742,578.7984074864884,695.6702114189027
1983-06-01,597.9528476015435,492.8,408.25185981905787,492.8,489.2,549.1252962561897,584.9291418885256
1983-07-01,493.8148250137217,403.0,381.6078106132512,403.0,435.8563871904596,515.1669007123735,499.9567314751146
1983-08-01,433.84886114840157,351.2903225806452,346.77102167337284,351.2903225806452,405.3937376924093,495.71067326192633,451.14828724102154
1983-09-01,407.071795063064,328.2,331.2150806108869,328.2,356.800789364975,458.55527353597114,398.78347704644875
1983-10-01,436.01855915475755,353.16129032258067,338.3055378634309,353.16129032258067,361.99182234090966,460.1525580437332,413.98196130339267
1983-11-01,542.4821488585872,444.96666666666664,409.8807371163601,444.96666666666664,460.09720415041846,530.5649767194773,539.1475803449007
1983-12-01,779.8034674032239,649.6129032258065,547.7508246153534,649.6129032258065,641.1353646062521,656.7697847604016,785.1508816982533
1984-01-01,864.1972381332065,722.3870967741935,588.904178165199,722.3870967741935,691.8387785118197,690.47932411641,860.6434045236509
1984-02-01,915.2934971877635,766.448275862069,581.8965517241379,766.448275862069,667.0960239391317,665.6046196528907,857.7478880478197
1984-03-01,976.2359541510692,819.0,675.0322580645161,819.0,813.8457930291253,779.9055300709392,1008.8131463487509
1984-04-01,1033.9873297064535,868.8,638.1666666666666,868.8,735.6122179696764,710.7321090117517,961.4729067289697
1984-05-01,860.5686052605081,719.258064516129,531.4516129032259,719.258064516129,592.9558574181618,610.0433559578818,772.6229180597882
1984-06-01,619.0587720013024,511.0,438.9560455714141,511.0,491.74861961068706,549.4265827253153,595.0627091388292
1984-07-01,481.35776577033323,392.258064516129,375.4175309037336,392.258064516129,415.28660782052367,499.54426109727507,477.38039787664997
1984-08-01,415.81792254385726,335.741935483871,334.2809968622742,335.741935483871,359.9731628643098,460.3479682576828,404.7817103381109
1984-09-01,419.3642565266599,338.8,338.3562963598851,338.8,366.17796889731045,465.0922662885703,411.5256365808217
1984-10-01,433.5121838715533,351.0,346.57543146722264,351.0,376.97057175528147,472.6159749283542,426.19114095057137
1984-11-01,518.3997479409134,424.2,395.8902421112476,424.2,441.72618890310724,517.7582267670581,514.1841671690695
